"Defores"	"Elev"	"Pendiente"	"Dist.rio"	"Dist.ciudad"	"Dist.pueblo"	"Dist.carP"	"Dist.carS"	"Dist.agri"	"Insolac"
0	557.3	16.3	361.2	10230.4	1943.3	10908	123.7	912.4	3240.7
0	838	23.5	1578.9	8220.5	2404.7	9103	1170.4	1518.2	3096.2
1	646.7	7.5	1046.6	7230.6	2874.1	8242.6	967.5	726.2	3791.2
0	591.9	6.6	120	6240.6	2806.1	7369.6	60	757.2	3759.3
1	596.7	31	678.8	4231	3129.2	5466	764.9	182.5	3819.8
1	144.9	8.5	30	48983.4	2321.7	8170.7	330	42.4	4028.6
0	200	9.8	330	48342.1	1704.7	6441.6	276.6	30	3985.2
1	305.3	12.7	0	46111.4	3136.4	1031	787.5	94.9	4232
0	361.6	14.1	371.1	41417.8	2658	2233.9	1082.1	752.4	3329
0	468.7	7.2	1200	38898.5	3391.2	4764.2	1293.1	912.4	3914.5
0	600	8.6	1744.1	38689.9	3507.4	5635.3	1539.4	1476.1	3697.1
0	359.5	19.7	1952.1	38505.6	3246.8	6540.3	2239	1425.2	3146.1
1	247.1	19.5	1230	38207.7	1698.1	8436.6	1152.6	797.1	4061.8
1	990.1	32.5	1622.5	12270.9	1946.5	13146.7	1686.7	2840	4644.6
0	737.3	10.8	1477.3	11253.7	1158	12222.8	676.8	2305.1	3725.1
0	738.7	22.2	424.3	9280.9	1590.3	10478.5	210	1888.1	3195.5
1	1062.5	24.1	997.2	7282.2	3428.5	8603.5	1224.5	1623.6	3107.1
1	480.5	4.8	699.7	3354.8	2459.6	4751.9	563.6	180	3835.2
1	530.2	3	4639.5	456.9	2060.4	662.7	30	30	3924.8
1	152.6	21.8	0	47692.8	1652.5	6842.4	480.9	30	2823.2
1	250	0	997.2	40089.7	1548.7	1050	948.7	751.8	3839.2
1	402.7	9.1	1315.2	37333.1	3102.2	7889	2569	1836.1	3602.1
0	350	0	1863.9	37195.6	2619.5	8788.4	1959	823.8	3918.7
1	273.3	19.3	2631.8	36938.2	3234.4	11604.1	1447.8	362.5	3167.6
1	669	10.3	1376.4	22310.2	2497.2	20216.7	1240.2	912.4	4219.4
1	450	0	998.6	21323.9	3328.2	19793.3	618.5	30	3924.4
1	796.3	21.5	424.3	15356.7	4710.9	16304.4	1148.3	3824.1	3224.2
0	1185.2	19.2	2352.3	12385.1	1712.4	13595.3	2047.3	3699.9	3382.2
0	914.9	28.9	402.5	10403.1	313.2	11758.2	960.5	2821.4	3677.9
1	794.2	14	465.7	9431.3	1293.1	10797.7	635.7	2847.6	3304.6
0	650	2.9	108.2	4633	3846.7	5981.1	1318	1060.7	3818.2
1	686.5	28.2	990.5	3751	3098.3	5020.7	931.9	402.5	3046.1
1	150	0	402.5	50314.4	1176.1	14377.9	330	42.4	3834.1
1	250	11.6	297	47096.2	807.2	7481.1	108.2	30	3478.5
0	237.8	11.2	150	45848.2	1999.4	3703	721.2	67.1	4127
1	250	0	2071.5	44126.5	2598.2	3439	297	84.9	3880.7
0	150	2.3	474.3	44162	2431.7	1638.8	569.2	84.9	3821.5
0	384.8	7.1	60	41415.2	1830.2	5723.7	720.6	123.7	3746.8
0	400	1	442.9	36941.8	4230.4	5679.2	618.5	618.5	3915.9
1	632.6	27.5	60	36527.9	4373.2	7476.3	1966.5	2144.1	4508.2
1	326.1	23.7	2058.7	36099.1	3451.2	10102.7	2583.8	846.9	2836.8
0	434.5	15.9	1077.1	28376.5	1948.2	23374.3	967.5	755.4	3847.3
0	422.8	6.5	276.6	20424.1	4000.8	20313.2	180	108.2	3862.2
1	674.7	32.4	446	17459.2	6776.6	18514.4	342.1	1612.8	2402.2
